Image,Weed Pixels,Total Pixels,Weed %,Healthy %
DJI_DateTime_2024_06_02_13_42_0035_lat_10.3040603_lon_105.2619317_alt_20.018m.png,169917,1228800,13.83,86.17
DJI_DateTime_2024_06_02_13_42_0036_lat_10.3040274_lon_105.2619303_alt_19.998m.png,176699,1228800,14.38,85.62
DJI_DateTime_2024_06_02_13_43_0037_lat_10.3039956_lon_105.2619281_alt_20.000m.png,181854,1228800,14.8,85.2
DJI_DateTime_2024_06_02_13_43_0038_lat_10.3039632_lon_105.2619268_alt_20.009m.png,202618,1228800,16.49,83.51
DJI_DateTime_2024_06_02_13_43_0039_lat_10.3039307_lon_105.2619253_alt_20.017m.png,193753,1228800,15.77,84.23
DJI_DateTime_2024_06_02_13_43_0040_lat_10.3038985_lon_105.2619236_alt_20.019m.png,186730,1228800,15.2,84.8
DJI_DateTime_2024_06_02_13_43_0041_lat_10.3038666_lon_105.2619219_alt_20.001m.png,200343,1228800,16.3,83.7
DJI_DateTime_2024_06_02_13_43_0042_lat_10.3038342_lon_105.2619203_alt_20.049m.png,215319,1228800,17.52,82.48
DJI_DateTime_2024_06_02_13_43_0043_lat_10.3038020_lon_105.2619186_alt_20.044m.png,198662,1228800,16.17,83.83
DJI_DateTime_2024_06_02_13_43_0044_lat_10.3037699_lon_105.2619171_alt_20.023m.png,283935,1228800,23.11,76.89
DJI_DateTime_2024_06_02_13_43_0045_lat_10.3037478_lon_105.2619385_alt_19.960m.png,223113,1228800,18.16,81.84
DJI_DateTime_2024_06_02_13_43_0046_lat_10.3037496_lon_105.2619705_alt_19.973m.png,104708,1228800,8.52,91.48
DJI_DateTime_2024_06_02_13_43_0047_lat_10.3037770_lon_105.2619830_alt_20.009m.png,103995,1228800,8.46,91.54
DJI_DateTime_2024_06_02_13_43_0048_lat_10.3038091_lon_105.2619845_alt_20.005m.png,93001,1228800,7.57,92.43
DJI_DateTime_2024_06_02_13_46_0100_lat_10.3048624_lon_105.2621073_alt_20.006m.png,46412,1228800,3.78,96.22
DJI_DateTime_2024_06_02_13_46_0101_lat_10.3048303_lon_105.2621055_alt_20.021m.png,45442,1228800,3.7,96.3
DJI_DateTime_2024_06_02_13_46_0102_lat_10.3047980_lon_105.2621037_alt_19.992m.png,69304,1228800,5.64,94.36
DJI_DateTime_2024_06_02_13_46_0103_lat_10.3047657_lon_105.2621019_alt_19.981m.png,94256,1228800,7.67,92.33
DJI_DateTime_2024_06_02_13_46_0104_lat_10.3047332_lon_105.2621004_alt_20.000m.png,83063,1228800,6.76,93.24
DJI_DateTime_2024_06_02_13_46_0105_lat_10.3047014_lon_105.2620993_alt_19.998m.png,107008,1228800,8.71,91.29
DJI_DateTime_2024_06_02_13_46_0106_lat_10.3046688_lon_105.2620979_alt_19.993m.png,83542,1228800,6.8,93.2
DJI_DateTime_2024_06_02_13_46_0107_lat_10.3046364_lon_105.2620963_alt_19.999m.png,76435,1228800,6.22,93.78
DJI_DateTime_2024_06_02_13_46_0108_lat_10.3046041_lon_105.2620949_alt_20.005m.png,56301,1228800,4.58,95.42
DJI_DateTime_2024_06_02_13_47_0109_lat_10.3045719_lon_105.2620937_alt_20.010m.png,125372,1228800,10.2,89.8
DJI_DateTime_2024_06_02_13_47_0110_lat_10.3045391_lon_105.2620921_alt_20.004m.png,120876,1228800,9.84,90.16
DJI_DateTime_2024_06_02_13_47_0111_lat_10.3045066_lon_105.2620905_alt_20.003m.png,122341,1228800,9.96,90.04
DJI_DateTime_2024_06_02_13_47_0112_lat_10.3044744_lon_105.2620886_alt_19.999m.png,129567,1228800,10.54,89.46
DJI_DateTime_2024_06_02_13_47_0113_lat_10.3044424_lon_105.2620869_alt_19.998m.png,162393,1228800,13.22,86.78
DJI_DateTime_2024_06_02_13_47_0114_lat_10.3044102_lon_105.2620848_alt_19.988m.png,149183,1228800,12.14,87.86
DJI_DateTime_2024_06_02_13_47_0115_lat_10.3043780_lon_105.2620831_alt_19.986m.png,115401,1228800,9.39,90.61
DJI_DateTime_2024_06_02_13_47_0116_lat_10.3043458_lon_105.2620814_alt_19.989m.png,94871,1228800,7.72,92.28
DJI_DateTime_2024_06_02_13_47_0117_lat_10.3043136_lon_105.2620795_alt_19.974m.png,152082,1228800,12.38,87.62
DJI_DateTime_2024_06_02_13_47_0118_lat_10.3042815_lon_105.2620777_alt_19.990m.png,116724,1228800,9.5,90.5
DJI_DateTime_2024_06_02_13_47_0119_lat_10.3042490_lon_105.2620755_alt_19.991m.png,156676,1228800,12.75,87.25
DJI_DateTime_2024_06_02_13_47_0120_lat_10.3042167_lon_105.2620736_alt_20.003m.png,211580,1228800,17.22,82.78
DJI_DateTime_2024_06_02_13_47_0121_lat_10.3041845_lon_105.2620714_alt_20.009m.png,223671,1228800,18.2,81.8
DJI_DateTime_2024_06_02_13_47_0122_lat_10.3041526_lon_105.2620692_alt_19.993m.png,204217,1228800,16.62,83.38
DJI_DateTime_2024_06_02_13_47_0123_lat_10.3041200_lon_105.2620675_alt_20.007m.png,153182,1228800,12.47,87.53
DJI_DateTime_2024_06_02_13_47_0124_lat_10.3040883_lon_105.2620654_alt_20.004m.png,152972,1228800,12.45,87.55
DJI_DateTime_2024_06_02_13_47_0125_lat_10.3040556_lon_105.2620637_alt_20.014m.png,125892,1228800,10.25,89.75
DJI_DateTime_2024_06_02_13_47_0126_lat_10.3040239_lon_105.2620619_alt_19.982m.png,121668,1228800,9.9,90.1
